text,topic,timestamp,annotator_1,annotator_2,annotator_3,sentiment
NOW you care about the Dreamers Mr. President? Six months after throwing their lives into chaos? Is this a cruel j…,Politics,2024-02-28 21:56:00,negative,negative,negative,negative
ICYMI: My interview with sharing my support of President Trump’s efforts to pressure Mexico into doi…,Politics,2024-11-24 10:07:00,neutral,neutral,neutral,neutral
": SUNDAY on : and join to discuss their new book ""Unified"" Join us…",Politics,2024-01-02 23:56:00,positive,positive,positive,positive
I am proud to stand by our friends in and to follow up on President Trump’s historic recognition of Jerusal…,Politics,2024-04-01 16:58:00,positive,positive,positive,positive
Thanks for sharing -- looks like is doing what is unable to do .…,Politics,2024-11-23 16:38:00,negative,neutral,negative,negative
"Michelle has worked in my office for 7 years &amp; rose to chief because of her tenacity, political acumen, and hard wo…",Politics,2024-03-23 17:49:00,positive,positive,positive,positive
Couldn't agree more with - we need to hire more healthcare providers at the VA and ensure veterans h…,Politics,2024-11-02 10:31:00,positive,positive,positive,positive
": Breaking News: A firm tied to a Russian oligarch gave about $500,000 to a company that President Trump’s lawyer previously use…",Politics,2024-06-06 07:03:00,negative,negative,negative,negative
Congressional Republicans have – at least temporarily – moved from a hyper-partisan approach to actually negotiatin…,Politics,2024-02-10 02:46:00,negative,negative,negative,negative
Sanctions against Russia passed the House 419-3 and the Senate 98-2. President Trump is ignoring Congress while his…,Politics,2024-03-05 04:42:00,neutral,neutral,neutral,neutral
Run for almost a decade by Commissioners who spent more time misleading Congress and attempting to bury scandals th…,Politics,2024-05-15 16:55:00,positive,positive,positive,positive
": Pleasure participating in round table discussion hosted by , , and about how Cong…",Politics,2024-10-03 23:44:00,negative,negative,negative,negative
"Today on the Floor, the House will consider eight bills, including legislation to improve communication and collabo…",Politics,2024-12-09 20:23:00,neutral,neutral,neutral,neutral
How dare so-called “President” lecture anyone about failure to produce documents. Stop hiding your tax returns from…,Politics,2024-03-02 07:14:00,negative,negative,negative,negative
: Thanks to Congressman Dan Newhouse and Dave Reichert for asking for a permanent legislative…,Politics,2024-04-27 18:14:00,positive,positive,positive,positive
"Spotlight:Born in 1975, Charles Bellinger was a prominent African American political leader and entrepreneur…",Politics,2024-04-27 02:57:00,positive,neutral,positive,positive
This week I joined and in calling on President Trump to take action on illegal foreign…,Politics,2024-05-22 21:31:00,negative,negative,positive,negative
The NRA gave me an “F” for my work to pass gun safety legislation &amp; once and for all. I’m wearing i…,Politics,2024-10-22 15:15:00,neutral,neutral,neutral,neutral
My statement on President Trump's refusal to comply with the terms of the :,Politics,2024-04-07 03:06:00,neutral,neutral,neutral,neutral
"President &amp; CEO of : ""We're pleased to share the benefits of the strong economic conditions, and the…",Politics,2024-07-29 14:55:00,positive,positive,positive,positive
I am appreciative that spent a portion of his speech at talking about and…,Politics,2024-11-26 03:03:00,positive,positive,positive,positive
"Strategic rivals utilize propaganda, information warfare, and cyber operations to undermine democracy &amp; U.S. leader…",Politics,2024-02-25 07:12:00,neutral,neutral,neutral,neutral
"Throughout his career in Congress, was never pro-consumer. Heck, he hated the because it pro…",Politics,2024-08-04 05:17:00,negative,negative,negative,negative
"At this week's Coffee With Your Congressman, I had a few minutes to talk with these students from the Iowa Associat…",Politics,2024-02-08 14:51:00,negative,negative,negative,negative
"Now that the is broken up, I’m crawling out of my underground shelter. Thank you, Mr. President.",Politics,2024-01-26 20:34:00,negative,negative,negative,negative
": Congressman Filemon Vela was a special guest of LFHS Tuesday as he addressed students in AP U.S. History, AP Government…",Politics,2024-05-01 05:26:00,positive,positive,positive,positive
: .: needs to make sure that the requirement won't chill investigations of assault for fear it might jeopa…,Politics,2024-07-24 01:10:00,positive,positive,positive,positive
I am heartbroken by the loss of my colleague and dear friend Congresswoman Louise Slaughter. Her tenacity and charm…,Politics,2024-05-15 14:18:00,neutral,neutral,neutral,neutral
An American hero is fighting for his life and everyone needs to be better than to joke about it. Senator McCain has…,Politics,2024-10-11 21:45:00,positive,positive,positive,positive
: Sensible and bi-partisan tax reform? Refreshing in today's political climate.,Politics,2024-04-21 01:37:00,positive,positive,positive,positive
President Trump’s prescription drug price proposal fails to truly tackle the exorbitant costs that millions of hard…,Politics,2024-01-30 01:37:00,negative,negative,negative,negative
: Thank you to for meeting with to discuss why our need pay raises and why we…,Politics,2024-09-28 05:03:00,neutral,neutral,neutral,neutral
It’s time for the President to meaningfully address our nation’s challenges by working with Congress to advance bip…,Politics,2024-02-05 19:04:00,positive,positive,positive,positive
I join my colleagues in Michigan’s Congressional delegation calling on our Senators to do the right thing and stop…,Politics,2024-03-02 18:15:00,positive,positive,positive,positive
Exciting collaboration among our civility caucuses – working to in Congress &amp; public discourse duri…,Politics,2024-08-02 21:37:00,positive,positive,positive,positive
": President Trump is looking for someone to blame for Ronny Jackson’s failed VA nomination, but the truth is that the Pres…",Politics,2024-05-13 06:42:00,negative,negative,negative,negative
"How to refocus Washington? Term Limits, single subject legislation &amp; getting bills to the floor.",Politics,2024-07-21 04:42:00,negative,negative,negative,negative
": Today, the will once again vote to pass the . It’s an insult to our democracy.",Politics,2024-02-07 00:29:00,neutral,neutral,neutral,neutral
Entries can also be mailed to: Congressional Art Competition Office of Rep. Rick Nolan Duluth Technology Village 1…,Politics,2024-02-21 02:34:00,neutral,neutral,neutral,neutral
"Next up, President of will share his opinion on the pitfalls of the past and his views on earmarks.",Politics,2024-06-27 02:56:00,negative,negative,negative,negative
"Honoring Cesar Chavez’s legacy today in San Luis, AZ by announcing new legislation that will finally allow farmwork…",Politics,2024-08-12 17:45:00,neutral,neutral,neutral,neutral
This is yet another attack on TPS. Congress must step in where Trump has failed. We must pass the Act ri…,Politics,2024-11-30 16:00:00,negative,negative,negative,negative
"Today, we honor the legacies of those who held the highest political office in the United States.",Politics,2024-12-05 03:56:00,neutral,neutral,neutral,neutral
I am mindful today of the Trump Administration’s inhumane policy of separating immigrant mothers from their childre…,Politics,2024-10-10 04:17:00,negative,positive,negative,negative
We took an oath to provide for the common defense... Let's stop playing politics and support our military.,Politics,2024-06-24 06:43:00,negative,negative,negative,negative
"This year, Congress increased federal funding for , something that I was proud to fight for. I will conti…",Politics,2024-09-07 08:57:00,positive,positive,positive,positive
: Thank you Prime Minister &amp; Mrs. Netanyahu for the warm welcome to Israel. I am honored to join you &amp; the US Del…,Politics,2024-08-04 08:02:00,positive,positive,neutral,positive
A GAO report found Koskinen did nothing to ensure the IRS stopped targeting Americans based on political views. He should be impeached.,Politics,2024-05-14 05:47:00,neutral,positive,neutral,neutral
Supported VA reform legislation that: ✔ Holds bad employees accountable ✔ Protects whistleblowers ✔ Appoints permanent VA medical directors,Politics,2024-10-14 00:07:00,negative,negative,negative,negative
"Congratulations President Trump and VP Pence. It happened at noon, but it's morning again in America.",Politics,2024-10-06 01:53:00,neutral,neutral,neutral,neutral
Our town hall was one of my favorite events I’ve held while serving in Congress. The courage and act…,Politics,2024-08-08 04:02:00,positive,positive,positive,positive
: Thank you legislators for working to pass …,Politics,2024-01-21 11:13:00,neutral,neutral,neutral,neutral
"Shutting down the government is never a good idea. Today, on the House Floor, I urged Congress to vote on the conti…",Politics,2024-06-30 17:56:00,negative,negative,negative,negative
I fully condemn the President’s outrageous decision to implement his unconstitutional ban on transgender people ser…,Politics,2024-03-20 07:55:00,negative,negative,negative,negative
: . says tax day may get a little easier - and less painful - thanks to recent law changes.,Politics,2024-03-31 13:01:00,negative,negative,negative,negative
: Exciting support for Alex Diekmann Peak.,Politics,2024-07-29 21:55:00,positive,positive,positive,positive
"Under Trump, If You Look Like the King of Wakanda, You’re Not Welcome | Congressman Luis Gutierrez…",Politics,2024-03-22 22:06:00,negative,negative,negative,negative
"First, the President and Attorney General Sessions supported state efforts to disenfranchise minority voters. Now…",Politics,2024-04-23 06:52:00,positive,positive,negative,positive
Trivia: Which President's was the first to be broadcast on television?,Politics,2024-04-26 07:01:00,positive,positive,positive,positive
: is proud to present our 2017 Congressional Cancer Champion Award to &amp;,Politics,2024-05-22 02:49:00,positive,positive,positive,positive
: It's not often we have a congressman in the PBS control room. watches AZHorizon from the other side. Tune i…,Politics,2024-07-23 21:53:00,negative,negative,negative,negative
It was great to meet with Minister Naimski again to discuss European security issues &amp; US-Poland energy coo…,Politics,2024-02-29 08:11:00,positive,positive,positive,positive
My office is accepting original artwork for the Congressional Art Competition until March 23rd! If you know a high…,Politics,2024-01-20 03:38:00,positive,positive,positive,positive
Presidents of both parties have repeatedly violated the constitution and the law by going to war without Congressio…,Politics,2024-06-09 13:38:00,neutral,neutral,neutral,neutral
Spoke w/ the County Commissioners today about issues affecting &amp; the work I'm doing in .,Politics,2024-04-07 08:02:00,neutral,neutral,neutral,neutral
Great artwork coming in from local high school students for the Congressional Art Competition including these piece…,Politics,2024-12-17 23:47:00,positive,positive,neutral,positive
The President mentioned prison reform &amp; criminal justice reform in his speech today- I agree that ! Ge…,Politics,2024-08-08 02:42:00,negative,negative,negative,negative
Congratulations to Jayna from Glastonbury for winning this year’s Congressional Art Competition! Her piece was insp…,Politics,2024-12-05 03:46:00,positive,positive,positive,positive
I joined my Congressional colleagues from &amp;the Congressional Black Caucus in a moment of si…,Politics,2024-12-07 13:20:00,negative,negative,negative,negative
President Trump has disrespected the service and sacrifice of our brave transgender troops all for the purpose of d…,Politics,2024-03-06 06:26:00,positive,positive,positive,positive
"It is my hope that this legislation will help prevent tragic accidents like the death of Jarred Brown, who was kill…",Politics,2024-03-30 19:36:00,negative,negative,negative,negative
: New Podcast 🎧! joined to explain his legislation to create education savings accounts geared to…,Politics,2024-01-01 09:18:00,positive,positive,positive,positive
"Will Democrats shut down the government over DACA? House Republicans have voted to fund the government, for a six y…",Politics,2024-11-06 20:20:00,negative,negative,negative,negative
": The U.S. is lagging behind European countries in terms of how it regulates tech companies, according to Maryland Congressman John…",Politics,2024-04-19 16:30:00,negative,negative,negative,negative
"It is extremely disheartening that politics have been put ahead of our troops, health care for 9 million children a…",Politics,2024-03-27 21:05:00,negative,negative,negative,negative
": Today, I introduced the Student Non-Discrimination Act in the Senate, which would help protect public school students f…",Politics,2024-11-13 10:05:00,neutral,neutral,neutral,neutral
The deadline for high school students to submit their pieces for the Congressional Art Competition is April 25. The…,Politics,2024-12-10 09:14:00,positive,positive,positive,positive
My statement regarding ’ policy regarding transgender individuals serving in the military:,Politics,2024-05-05 15:39:00,neutral,neutral,positive,neutral
"Thanks for coming by, Dan! Glad we had the chance to catch up and discuss education policy",Politics,2024-11-18 18:12:00,positive,positive,negative,positive
"🎨 DUE TOMORROW: Calling all students in , their parents &amp; teachers: Submissions for the Congressional Art Comp…",Politics,2024-07-23 07:09:00,negative,negative,negative,negative
Celebrating 50 years of Congressional Forum. Appreciated discussing many issues today at this forum at…,Politics,2024-08-05 07:11:00,positive,positive,positive,positive
": Due to the support of Representative Andy Barr, the Medicare Therapy Cap is history! Thank you Congressman Barr for co-sponsori…",Politics,2024-08-25 01:35:00,negative,negative,negative,negative
Thanks to everyone who came out to Saturday’s Congress at Your Corner! Mary and I had a great time catching up with…,Politics,2024-08-21 04:51:00,positive,positive,positive,positive
Proud to have introduced the companion legislation in the House of Representatives!,Politics,2024-10-13 19:20:00,positive,positive,positive,positive
"The Iranian nuclear deal was crafted behind closed doors, without the approval of Congress. This deal, and the resu…",Politics,2024-11-09 23:57:00,negative,negative,negative,negative
"Great story in for . As a co-chair of the Congressional Veterans Jobs Caucus, it's great to read abou…",Politics,2024-10-07 14:57:00,positive,positive,positive,positive
"So proud of my dear friend Peter Hayden, founder and president of Turning Point, helping African Americans restore…",Politics,2024-08-18 08:48:00,positive,positive,positive,positive
"“Funding the government is a fundamental duty of Congress, and yet, during my time here, we have failed to do so in…",Politics,2024-09-23 15:40:00,negative,negative,negative,negative
: [PHOTOS] --- leads bipartisan congressional delegation on national security-focused trip to Holland htt…,Politics,2024-05-26 07:17:00,negative,negative,negative,negative
"Today, legislation that I introduced, the Portfolio Lending and Mortgage Access Act, passed the full House. This le…",Politics,2024-02-11 04:09:00,positive,positive,positive,positive
"Honored to join the installation ceremony for , the first female President of . I look forwar…",Politics,2024-12-27 06:04:00,positive,positive,positive,positive
ICYMI— Today was the launch of the Congressional Smart Cities Caucus. Co-chair and I thank everyone wh…,Politics,2024-08-26 13:03:00,positive,positive,positive,positive
Excited to announce my office is now accepting entries for the 2017 Congressional Art Competition! More info here:…,Politics,2024-10-26 22:01:00,positive,positive,positive,positive
I joined and on NBC 5’s Lone Star Politics to discuss the latest news in Washington.…,Politics,2024-07-13 15:00:00,positive,positive,positive,positive
"Mr. President, if you’re serious about finding a solution for these young people, then you’ll join us in supporting…",Politics,2024-07-18 13:34:00,negative,negative,negative,negative
": Thanks to , , and for their leadership in the House introducing th…",Politics,2024-11-04 07:31:00,positive,positive,positive,positive
- and it needs to be. It certainly seems that Obama Justice Dept officials let political bias influe…,Politics,2024-01-15 12:21:00,positive,positive,positive,positive
: Florida Republican Congressman named to House Veterans Affairs Committee: #…,Politics,2024-03-25 14:58:00,neutral,neutral,neutral,neutral
I’d like to thank the folks at for the great update on their new aquarium and their policy prioritie…,Politics,2024-07-20 18:36:00,positive,neutral,positive,positive
"Today, the committee held a hearing to examine the Bureau of Indian Education and the government's management of Na…",Politics,2024-03-10 14:11:00,neutral,neutral,negative,neutral
I’m very honored to receive an “F” grade from the for my efforts to pass commonsense gun safety legislation. L…,Politics,2024-08-20 10:21:00,positive,negative,positive,positive
"If you think it's so little (my constituents don't!), then why should it go to the federal government?",Politics,2024-08-03 08:53:00,negative,negative,negative,negative
": Thanks to for inviting our students, Gabrielle, Emma, Hayden, Alivia and Avery to the Congressional Art Showcase…",Politics,2024-01-27 11:14:00,positive,positive,positive,positive
Why fed gov shutdown: Dems insist on pro-illegal alien policy:,Politics,2024-11-29 01:48:00,negative,negative,negative,negative
"President Trump ran on promises to make America more prosperous and more secure, and in his first year in office he…",Politics,2024-01-11 19:09:00,positive,positive,positive,positive
: 8th District Congressman joined the WTAQ Morning News with Matt &amp; . If you missed it check out…,Politics,2024-02-28 18:13:00,neutral,neutral,neutral,neutral
: speaking now on our work to prevent . WATCH:,Politics,2024-07-07 05:38:00,neutral,neutral,neutral,neutral
: It was a pleasure meeting today. Here are a few photos of our CEO Patrick Walsh and the Congressman discussing…,Politics,2024-02-28 05:19:00,negative,negative,negative,negative
: Opinion: Have you noticed how poor people are bankrupting the government? Neither have we.,Politics,2024-10-21 21:58:00,negative,positive,negative,negative
President Trump will talk immigration policy during tonight's . In my district there is significant support fo…,Politics,2024-04-11 02:37:00,positive,positive,positive,positive
": ""We often forget that at the center of the fight for Trans Equality are real people."" -- to …",Politics,2024-02-22 22:49:00,neutral,neutral,neutral,neutral
“Part of Congress’ recent abdication is letting the Executive Branch make all the tough decisions...we should have…,Politics,2024-03-02 18:50:00,negative,negative,negative,negative
"CongressIonal train &amp; garbage truck collision. One fatality, one very critical, one serious-all from truck. Of trai…",Politics,2024-07-08 02:32:00,neutral,neutral,neutral,neutral
". highlights the Act, our bill to give members of Congress at least 2 minutes to review each page of…",Politics,2024-09-07 03:27:00,negative,negative,negative,negative
President Trump’s rhetoric at the tonight unfortunately does not match reality. Unity and strength in our cou…,Politics,2024-08-23 22:09:00,negative,negative,negative,negative
: The co-chairs of the Congressional Bipartisan Task Force for Combating Anti-Semitism sent a letter to Polish President Du…,Politics,2024-11-29 08:39:00,neutral,neutral,neutral,neutral
perpetuates false claims that immigrants are infecting our communities with crime. We cannot allow…,Politics,2024-09-04 14:27:00,negative,negative,negative,negative
"Addressing Citizen of the Year Awards Banquet. As a former two-time President of this organization, I a…",Politics,2024-06-14 07:53:00,neutral,neutral,neutral,neutral
"When this legislation is signed into law, we will finally fix an outdated policy and at long last allow all the pie…",Politics,2024-08-18 07:48:00,negative,negative,negative,negative
I’m looking forward to joining in a few minutes to discuss tax reform and President Trump’s visit to…,Politics,2024-07-13 10:01:00,negative,negative,negative,negative
I'm inspired by all those taking to the streets today and I'll keep fighting for real gun reform in Congress with…,Politics,2024-09-06 06:22:00,positive,positive,positive,positive
: President Trump is ignoring the worst crisis in history and abandoning the very values our country was built up…,Politics,2024-11-01 22:56:00,negative,negative,negative,negative
"Congressman Griffith's E-Newsletter: Bringing Back Options for Health Insurance, Self-Driving Cars, Tax Reform",Politics,2024-02-13 07:46:00,neutral,neutral,positive,neutral
ICYMI: and comment on Congress’s failure to reform the deeply flawed and fraud-ridden…,Politics,2024-05-03 22:30:00,negative,negative,negative,negative
Proud to stand with Mr. Mellin yesterday to announce new legislation to ensure folks like him — who were POWs durin…,Politics,2024-01-09 02:18:00,positive,positive,positive,positive
: Pancakes w/Congress! 110% support for a cure for Alzheimer's thank you …,Politics,2024-06-05 21:37:00,neutral,neutral,neutral,neutral
My Coffee with Your Congresswoman events in South Glens Falls and Moriah were great opportunities to hear directly…,Politics,2024-06-25 13:47:00,positive,positive,positive,positive
"Fattah Moment in Congress/ Bill passed this week , 6 3 billion health innovation .Here our work on thi…",Politics,2024-08-20 08:19:00,neutral,neutral,neutral,neutral
"I believe every single Member of Congress should have an office at their local VA like we do, which is why today I…",Politics,2024-06-10 03:47:00,neutral,neutral,positive,neutral
: Vice President toured tornado ravaged areas of Greensboro this morning. He says that he has spoken to …,Politics,2024-04-04 06:13:00,neutral,neutral,neutral,neutral
"What the President tweeted this morning is hate speech, pure and simple. They fall far below what we should expect…",Politics,2024-10-28 16:38:00,negative,negative,negative,negative
: What’s it like to juggle being the highest ranking Republican woman in Congress and a mom? sat down wit…,Politics,2024-05-31 07:23:00,negative,negative,positive,negative
: . says bill will mean smarter deployment of air marshals and keep the sky safer for us all.,Politics,2024-03-05 08:02:00,negative,negative,neutral,negative
"My OpEd today via : ""Obamacare Agency Escapes Congressional Oversight”",Politics,2024-12-23 04:40:00,neutral,neutral,neutral,neutral
I'm hosting a Special Order on the House floor tonight at approx. 6pm in honor of former Senator and Georgia Govern…,Politics,2024-01-07 18:18:00,positive,positive,positive,positive
"As a Member of Congress, I have a greater responsibility than offering thoughts and prayers, just as Congress has a…",Politics,2024-04-04 01:16:00,positive,positive,positive,positive
: The black unemployment rate fell from 16.5% to 7.8% from January 2011 –January 2017. Now it’s 6.8%. Thank President Obama…,Politics,2024-02-03 12:31:00,negative,negative,negative,negative
Today the House passed H.R. 4712. This common sense legislation makes it a crime to take the life of an infant who…,Politics,2024-03-18 04:51:00,negative,neutral,negative,negative
Fattah Moment in Congress - 3 Billion / Energy/ PHILADELPHIA’S TRAFFIC SIGNALS TURN GREEN – Greenworks Philadelphia,Politics,2024-05-07 03:35:00,negative,negative,negative,negative
"The President’s desire to cut food stamps in favor of canned goods to save money is not just cruel, it’s offensive…",Politics,2024-11-12 07:49:00,negative,negative,negative,negative
North Carolina Senate President pro-tem today named me to the committee that will work to place a st…,Politics,2024-08-14 09:55:00,neutral,neutral,neutral,neutral
"I sat down this afternoon with members of , including Dr. Eugune Cornacchia, President of my alma mater…",Politics,2024-10-18 19:03:00,negative,negative,negative,negative
Proud to join my friend to launch the Congressional E-Commerce Caucus. Looking forward to working on a…,Politics,2024-04-16 20:13:00,positive,positive,positive,positive
"After listening to President Trump’s , we can agree as individuals and as a country we are better off now than…",Politics,2024-03-29 17:04:00,positive,positive,positive,positive
: Pleased to see the House is taking up legislation to help stop online sex trafficking this week. Would encourage everyon…,Politics,2024-12-18 19:30:00,positive,positive,positive,positive
"How/why are we on brink of shutdown? Each year, the Congress votes on 12 separate appropriations bills that fund th…",Politics,2024-12-27 09:44:00,neutral,neutral,neutral,neutral
: Thank you Congressman for speaking to our group last night. It was a very interesting and lively discussion!…,Politics,2024-05-15 20:37:00,positive,positive,positive,positive
Trump’s doubling down on this bigoted policy is shameful. No one should be denied the privilege of serving in our m…,Politics,2024-08-05 03:34:00,negative,negative,negative,negative
"I sat down with Don Curtis to discuss ISIS, the economy and the unfortunate state of politics in Washington....",Politics,2024-03-13 02:03:00,negative,negative,negative,negative
: It's official: Tacked onto the end of the is a 32-page bill that radically changes the way foreign governments ca…,Politics,2024-10-18 09:28:00,negative,negative,negative,negative
Will be speaking on House floor in just a few moments in support of HR 4924 and making congressional hush fund payments public.,Politics,2024-07-25 08:32:00,neutral,neutral,neutral,neutral
Congress Can and Should Still Defund - Read my op-ed:,Politics,2024-11-02 01:56:00,neutral,neutral,neutral,neutral
Local High School Students Awarded Congressional Medal of Merit,Politics,2024-05-08 00:05:00,neutral,neutral,neutral,neutral
I was glad to join for its program this morning. I talked about the need for a congressional vote o…,Politics,2024-10-21 18:01:00,positive,positive,positive,positive
R U ln LA? If so that explains Y Ure so political naive about OC voters,Politics,2024-05-17 18:02:00,negative,negative,negative,negative
: It was very touching to watch Congresswoman today while she was being honored at the . We thank her for h…,Politics,2024-09-22 20:28:00,positive,positive,positive,positive
coming to the congress for a vote tomorrow.,Politics,2024-10-26 13:40:00,neutral,neutral,neutral,neutral
": Students, don’t forget to sign up for our Military Service Academy Day by this Monday, April 23! Sign up here --&gt;",Politics,2024-08-28 11:26:00,negative,negative,negative,negative
: Rep. Zeldin: President made right move by withdrawing from Iran nuclear accord,Politics,2024-03-23 10:26:00,positive,positive,positive,positive
: Today I’m headed to DC to testify to Members of Congress at a Bi-partisan Women’s Caucus on Workplace Sexual Harassment put o…,Politics,2024-07-24 17:02:00,positive,positive,positive,positive
Thanks to the Student Government Association &amp; Multi Ethnic Enrichment Team of for inviting me to spea…,Politics,2024-06-14 03:49:00,positive,positive,positive,positive
Yesterday I spoke on the House floor in support of the Nuclear Waste Policy Amendments Act. is leading the wa…,Politics,2024-01-01 21:55:00,negative,negative,negative,negative
In a few moments I will be joining for an update on what’s happening in Congress and its impact on…,Politics,2024-04-06 16:23:00,negative,negative,negative,negative
": To my House and Senate colleagues: If the President causes a constitutional crisis by firing Mueller, no one can credib…",Politics,2024-08-14 01:13:00,neutral,neutral,neutral,neutral
High School Students: It's not too late to enter the Congressional Art competition! Visit my website to learn…,Politics,2024-08-12 22:31:00,negative,negative,negative,negative
On the day the President wrongly attacks Comey for being a “leaker and liar” he considers pardoning a convicted lea…,Politics,2024-05-02 22:10:00,negative,neutral,negative,negative
": On we honor the hardworking, dedicated teachers who push students to achieve their best and real…",Politics,2024-02-17 07:53:00,positive,positive,negative,positive
": ""If the president would plead the 5th Amendment, the overwhelming majority of Americans would conclude he has something to…",Politics,2024-03-01 20:53:00,positive,positive,positive,positive
I agree w/ that Congress needs to address “the dishonest double dealing that allows the middlemen to pocket…,Politics,2024-05-29 16:45:00,negative,negative,negative,negative
President Trump's threats to fire Deputy AG Rod Rosenstein are a disgrace and a blatant attempt to obstruct the Spe…,Politics,2024-08-29 07:29:00,negative,negative,negative,negative
"""FHFA should be shrinking, not expanding its powers, to return to the proper scope of its Congressional mandate."" -…",Politics,2024-11-02 16:47:00,neutral,neutral,neutral,neutral
One of the many reasons the is so important is b/c Congress &amp; Americans need to understand an…,Politics,2024-05-21 13:21:00,positive,positive,positive,positive
My friends &amp; wrote an excellent piece. Reminded me of Sunday lunches Sandy and I be…,Politics,2024-01-02 09:46:00,positive,positive,positive,positive
: Have a question for Congressman Cartwright? Tweet it at us! We will ask him on January 24th during our Tow…,Politics,2024-12-03 15:55:00,neutral,neutral,neutral,neutral
: TOMORROW: and join the table to discuss how their unlikely friendship brings hope to a divided coun…,Politics,2024-06-19 17:48:00,negative,neutral,negative,negative
: Proud to join to introduce this legislation. Firing Special Counsel Mueller wou…,Politics,2024-06-13 06:44:00,positive,positive,positive,positive
": Aaron Czyzewski, Director of Advocacy and Public Policy for meets with , yesterday to discuss the …",Politics,2024-07-29 01:20:00,neutral,neutral,neutral,neutral
: Congress must investigate whether the illegally used foreign donations to fund its political activity. According to…,Politics,2024-07-14 12:42:00,negative,negative,negative,negative
: Republicans excluded aid in the bill to fund the government. Unbelievable.,Politics,2024-03-18 15:02:00,negative,negative,negative,negative
"When the TV cameras are turned off, the radical right wing whispers their orders in the President’s ear and he fall…",Politics,2024-02-21 14:06:00,positive,neutral,positive,positive
: Thank you for introducing CSBG Reauthorization on Wednesday! …,Politics,2024-03-14 13:55:00,neutral,neutral,neutral,neutral
OMB Director Mick Mulvaney is here on the Hill this morning with the President's $15 billion rescission request for…,Politics,2024-08-28 08:21:00,neutral,neutral,neutral,neutral
"Congratulations to the newest member of the US House of Representatives, Congressman Conor Lamb, representing Penns…",Politics,2024-02-11 10:54:00,neutral,neutral,neutral,neutral
A great opportunity to have in eastern Idaho today with our students talking history politics and the imp…,Politics,2024-06-11 20:45:00,positive,positive,positive,positive
